age,gender,porient_1,country,care1,care3,care4,care8,care11,care12,care13,care14,equalFairness6,equalFairness10,equality2,equality4,equality6,equality10,equality11,propFairness1,propFairness3,propFairness8,propFairness9,proportionality5,proportionality9,proportionality12,proportionality17,loyalty3,loyalty5,loyalty6,loyalty8,loyalty12,loyalty13,loyalty14,loyalty16,loyalty_new1,authority1,authority4,authority6,authority8,authority11,authority14,authority17,authority18,authority20,purity2,purity3,purity4,purity6,purity7,purity9,purity13,purity14,purity17,attention1,attention2,attention3,first_language,religion,religiosity_1,education,status
33,0,10,Japan,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,5,2,日本語,5,2,2,5
32,0,3,Kenya,5,5,5,5,4,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,4,5,5,1,5,4,5,5,5,5,5,5,4,5,4,4,5,4,4,5,3,5,2,English,1,10,4,8
30,0,6,Egypt,4,2,3,4,3,3,3,4,2,4,3,4,4,4,1,4,5,4,3,3,2,2,3,2,3,2,3,3,4,3,2,2,3,3,3,3,3,2,4,3,4,3,3,2,5,4,4,3,2,4,3,5,2,العربيه,2,8,4,7
24,0,5,Russia,4,5,4,5,4,5,3,4,4,4,4,4,4,4,4,5,5,4,2,5,4,4,5,5,4,4,4,3,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,4,3,3,5,3,4,5,3,5,2,Русский,1,7,4,5
35,1,4,Peru,3,5,5,4,5,5,4,4,5,4,4,4,4,4,4,3,5,3,5,5,4,5,4,5,5,4,4,5,4,5,5,3,5,5,5,4,4,4,5,4,4,5,5,5,5,4,5,4,3,4,3,5,2,ingles,1,7,3,6
41,0,3,France,3,2,4,4,3,3,3,3,2,2,3,2,3,2,2,1,4,3,3,4,4,4,4,3,2,3,3,2,3,1,2,2,2,1,3,2,3,3,3,4,3,2,3,4,1,2,4,2,4,2,3,5,2,français,6,1,2,4
41,1,9,Belgium,4,4,4,4,4,4,4,4,3,1,3,3,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,4,4,4,4,5,4,3,5,4,3,5,2,Français,6,2,5,7
36,1,4,Belgium,3,2,3,4,2,3,5,2,2,2,5,4,2,1,2,3,5,5,1,5,4,4,5,5,5,4,5,5,5,4,1,2,5,5,5,5,5,5,5,5,2,5,3,5,2,3,5,1,2,4,3,5,2,Portugues,1,7,4,7
28,1,6,Egypt,5,5,5,5,5,4,5,5,5,4,5,5,3,4,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,3,5,2,العربيه,2,9,4,8
40,1,10,Russia,4,5,5,5,5,5,5,5,2,5,5,3,5,3,5,5,5,4,2,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,3,3,5,5,5,4,5,5,4,5,5,5,5,5,3,5,2,Русский,1,10,2,5
